[root@node-23 dev]# lsscsi -g
[26:0:0:17]  disk    ESSTOR   IBLOCK           4.0   /dev/sdx   /dev/sg24
[26:0:0:18]  disk    ESSTOR   IBLOCK           4.0   /dev/sdar  /dev/sg44
[26:0:0:19]  disk    ESSTOR   IBLOCK           4.0   /dev/sdah  /dev/sg34
[26:0:0:20]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbc  /dev/sg55
[26:0:0:21]  disk    ESSTOR   IBLOCK           4.0   /dev/sdai  /dev/sg35
[26:0:0:22]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbi  /dev/sg61
[26:0:0:29]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbo  /dev/sg67
[26:0:0:30]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbz  /dev/sg78
[27:0:0:17]  disk    ESSTOR   IBLOCK           4.0   /dev/sdy   /dev/sg25
[27:0:0:18]  disk    ESSTOR   IBLOCK           4.0   /dev/sdav  /dev/sg48
[27:0:0:19]  disk    ESSTOR   IBLOCK           4.0   /dev/sdae  /dev/sg31
[27:0:0:20]  disk    ESSTOR   IBLOCK           4.0   /dev/sdba  /dev/sg53
[27:0:0:21]  disk    ESSTOR   IBLOCK           4.0   /dev/sdak  /dev/sg37
[27:0:0:22]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbn  /dev/sg66
[27:0:0:29]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbr  /dev/sg70
[27:0:0:30]  disk    ESSTOR   IBLOCK           4.0   /dev/sdbw  /dev/sg75
